Identifiant;Nom;Catégorie;Année;Adresse;Lieu;Lien;Géolocalisation
234;Cours Cathuis;Composteur ouvert au quartier;2019;Rue du Poitou;Nantes;https://pom-e.compostri.fr/composteur/cours-cathuis;47.222637998800764, -1.5635549998522138
238;Val de Cens;Composteur en résidence - copropriété;2019;Impasse du Val  de Cens;Orvault;https://pom-e.compostri.fr/composteur/val-de-cens;47.26230699940068, -1.595713000685123
252;L'Air du compost;Composteur en résidence - copropriété;2019;2 avenue de l’air du temps;Nantes;https://pom-e.compostri.fr/composteur/lair-du-compost;47.267664999144856, -1.525082999959895
260;Manufacture;Composteur ouvert au quartier;2020;10 rue de la Havanne;Nantes;https://pom-e.compostri.fr/composteur/manufacture;47.22018819940898, -1.5364939997951415
263;Docteur Gustave Rappin;Composteur en résidence - copropriété;;43 rue du Docteur Gustave Rappin;Nantes;https://pom-e.compostri.fr/composteur/docteur-gustave-rappin;47.226974999408284, -1.5768860004505725
271;Clos Saint Julien 2;Composteur ouvert au quartier;2020;Parc du Clos Saint Julien;Bouguenais;https://pom-e.compostri.fr/composteur/clos-saint-julien-2;47.18346599908395, -1.5820270000830623
272;Edmond Rostand;Composteur en résidence - copropriété;2020;22 - 24 rue Edmond Rostand;Nantes;https://pom-e.compostri.fr/composteur/edmond-rostand;47.221062598719094, -1.5292383006265549
282;Les Peupliers;Composteur en résidence - copropriété;2020;Allée des Peupliers;Nantes;https://pom-e.compostri.fr/composteur/les-peupliers;47.234723998769084, -1.5194009994773088
288;Léon sécher;Composteur ouvert au quartier;2020;Chemin de la Motte;Rezé;https://pom-e.compostri.fr/composteur/leon-secher;47.182663999263, -1.531804999882212
295;Basse Lande;Composteur ouvert au quartier;2021;2-4 rue de la Basse Lande / 1 Imp. Francis Blourde, 44400 Rezé;Rezé;https://pom-e.compostri.fr/composteur/basse-lande;47.179805998794045, -1.5396000004491273
318;Léard et la Matière;Composteur en résidence - copropriété;2021;6 rue du Petit Léard;Rezé;https://pom-e.compostri.fr/composteur/leard-et-la-matiere;47.18798699923601, -1.5532880002158158
325;Square Anatole France 2;Composteur ouvert au quartier;;Place Anatole France;Couëron;https://pom-e.compostri.fr/composteur/square-anatole-france-2;47.21062099920053, -1.7303520004005875
354;Les Jardins de la Chevasnerie;Jardin;2021;118 Bd de la Solidarité;Nantes;https://pom-e.compostri.fr/composteur/les-jardins-de-la-chevasnerie;47.21676399886594, -1.5983269997577916
370;Tissatoit;Composteur ouvert au quartier;2022;93 rue de la Bastille;Nantes;https://pom-e.compostri.fr/composteur/tissatoit;47.22005899938971, -1.5739440002781842
375;La Madeleine;Composteur en résidence - copropriété;2022;51 ter rue de la moisdonnière;Nantes;https://pom-e.compostri.fr/composteur/la-madeleine;47.235155604443946, -1.5329880918662917
384;Carré Vert;Composteur ouvert au quartier;2022;rue Anne-claude Godeau;Sainte-Luce/Loire;https://pom-e.compostri.fr/composteur/carre-vert;47.254157998879634, -1.4640719999191365
394;L'Arche 135;Composteur en résidence - copropriété;2022;1-3-5 avenue de l'Arche;Nantes;https://pom-e.compostri.fr/composteur/larche-135;47.2214969989287, -1.5831769996357534
398;Vannes Lonchamp;Composteur en résidence - copropriété;2022;7 avenue Gergaud;Nantes;https://pom-e.compostri.fr/composteur/vannes-lonchamp;47.23706099937082, -1.5833089997236929
407;Les Jardins de Longchamp;Composteur en résidence - copropriété;2023;75 rue Hector Berlioz;Nantes;https://pom-e.compostri.fr/composteur/les-jardins-de-longchamp;47.23808799877141, -1.5796109999853065
426;Martellière 2;Composteur en résidence - copropriété;2023;24 rue Bonne Garde;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/martelliere-2;47.19711399898909, -1.5268099994672106
429;La Robertière 2;Composteur en résidence - copropriété;;4 avenue Florencio Martinez;Saint-Herblain;https://pom-e.compostri.fr/composteur/la-robertiere-2;47.20923879908589, -1.647400300088203
